sentence_english,sentence_marathi,sentence_hindi,intent
net connectivity is very slow in downloading movies,मूवीज़ डाउनलोड करताना नेट कनेक्टिविटी खूप स्लो आहे,नेट कनेक्टिविटी बहुत स्लो है मूवीज डाउनलोड करते समय,mobile data intro v1
myjio data is crawling,माझा जिओ डेटा ले स्लो आहे,माय जियो डेटा बहुत ही स्लो है,mobile data intro v1
my internet speed is slow what can i do,माझा इंटरनेट स्पीड स्लो आहे मी काय करू शकतो,मेरी इंटरनेट की स्पीड स्लो है मैं क्या कर सकता हूँ,mobile data intro v1
my data is not fast,माझा डेटा फास्ट नाही,मेरा डेटा फ़ास्ट नहीं है,mobile data intro v1
mobile data is not too good,मोबाइल डेटा इतका चांगला नाही आहे,मोबाइल डेटा कुछ ख़ास नहीं है,mobile data intro v1
internet speed is slow,इंटरनेटचा स्पीड स्लो आहे,इंटरनेट की स्पीड स्लो है,mobile data intro v1
internet running slowly,इंटरनेट स्लो चालत आहे,इंटरनेट स्लो चल रहा है,mobile data intro v1
i have data balance in my mobile but i am still not getting fast internet,माझ्या मोबाइलमध्ये डेटा बॅलेन्स आहे तरीही मला फास्ट इंटरनेट मिळत नाही,मेरे मोबाइल में डेटा बैलेंस है लेकिन अभी भी फ़ास्ट इंटरनेट नहीं मिल रहा है,mobile data intro v1
i am using a device and my internet speed is not proper,मी एक डिवाइस यूज़ करतो आणि माझा इंटरनेट स्पीड बरोबर नाही,मैं डिवाइस यूज़ कर रहा हूं पर मेरी इंटरनेट की स्पीड ठीक नहीं है,mobile data intro v1
how can i improve my internet connection,मी माझा इंटरनेट कनेक्शन कसा इम्प्रूव करू शकतो,मैं अपने इंटरनेट कनेक्शन को कैसे इम्प्रूव करूँ,mobile data intro v1
data is very slow,डेटा खूपच स्लो आहे,बहुत स्लो है डेटा,mobile data intro v1
bad experience with jio data speed,जीओ डेटा स्पीडबरोबर खराब एक्सपेरियन्स,जोयो डेटा स्पीड के साथ ख़राब एक्सपीरियंस,mobile data intro v1
always jio sim slow,ऑल्वेज़ जिओ सिम स्लो असतो,जियो सिम हमेशा स्लो है,mobile data intro v1
websites won't load,वेबसाइट लोड होत नाही,वेबसाइट लोड नहीं होता,mobile data intro v1
worst net speed,सर्वात खराब नेटची स्पीड,नेट की स्पीड सबसे खराब,mobile data intro v1
speed of my mobile data is very low nowadays,माझ्या मोबाइल डेटाची स्पीड आजकाल खूपच स्लो आहे,मेरे मोबाइल डेटा की स्पीड आजकल बहुत कम है,mobile data intro v1
fix bad data issue,खराब डेटा इशू फिक्स करा,खराब डेटा के इशू को फिक्स करें,mobile data intro v1
data speed sucks,डेटा स्पीड बेकार आहे,डेटा स्पीड बकवास है,mobile data intro v1
why is net taking forever to load,नेट लोड होण्यासाठी इतका वेळ का घेतो,लोड होने के लिए इतना टाइम क्यों लग रहा है,mobile data intro v1
internet speed sucks on mobile,इंटरनेट स्पीड मोबाइलवर इतका बेकार आहे,मोबाइल पर इंटरनेट की स्पीड बकवास है,mobile data intro v1
slow connection,स्लो कनेक्शन,स्लो कनेक्शन,mobile data intro v1
net problem,नेट प्रॉब्लेम,नेट प्रोबलम,mobile data intro v1
how to troubleshoot my data speed,माझा डेटा स्पीडचा ट्रबल्शूट कसे करावे,मेरे डेटा स्पीड को कैसे ट्रबल्शूट करें,mobile data intro v1
in my area jio speed is too slow how do i resolve that problem,माझ्या एरियामध्ये जीिओ स्पीड खूपच स्लो आहे मी हा प्रॉब्लेम कसा सॉल्व करू,"मेरे एरिया में, जियो की स्पीड बहुत स्लो है। इसे मैं कैसे सॉल्व करूं",mobile data intro v1
my jio speed is very low please solve this issue,माझ्या जीयोचा स्पीड खूप स्लो आहे त्याला प्लीज़ सॉल्व करा,मेरी जियो स्पीड बहुत कम है इस इशू को सॉल्व कीजिये,mobile data intro v1
Internet connection,इंटरनेटचा कनेक्शन,इंटरनेट कनेक्शन,mobile data intro v1
What plans do you have,आपल्याकडे काय प्लॅन्स आहे,आपके पास कोनसे प्लान्स है?,browse plans v1
Show me some plans,मला काही प्लॅन्स दाखवा,मुझे कुछ प्लान्स दिखाएं,browse plans v1
Show voice plans,वॉइस प्लॅन्स दाखवा,वॉइस प्लान्स दिखा दीजिये,browse plans v1
what plan do you offer,आपण कोणता प्लॅन ऑफर करता,आप कोनसा प्लान ऑफर करेंगे,browse plans v1
Do you have any plans to offer,तुमच्याकडे काही प्लॅन्स आहे का दाखवण्यासाठी,आपके पास कोई प्लान्स है क्या,browse plans v1
show calling plans,कॉलिंग प्लॅन्स दाखवा,कॉलिंग प्लान्स दिखाएं,browse plans v1
show data plans,डेटा प्लॅन्स दाखवा,डेटा प्लान्स दिखाएं,browse plans v1
Help me with recharge plans,रीचार्ज प्लॅन्समध्ये मला मदत करा,रिचार्ज प्लान्स दिखा दीजिये,browse plans v1
Browse Plans,प्लॅन्स ब्राउझ करा,ब्राउज़ प्लान्स,browse plans v1
affordable recharge plans,अफॉर्डेबल रिचार्ज प्लॅन्स,अफोर्डेबल रिचार्ज प्लान्स,browse plans v1
I want some budget friendly plans,मला काही बजेट फ्रेंडली प्लॅन्स पाहिजे,मुझे कुछ बजट फ्रेंडली प्लान्स चाहिए,browse plans v1
Please show me latest plan of jio,मला जिओचे लेटेस्ट प्लॅन्स दाखवा प्लीज़,कृपया मुझे जियो की लेटेस्ट प्लान्स दिखा दीजिये,browse plans v1
Do you have any plan offers,आपल्याकडे कोणत्याही प्लॅन्सचे ऑफर आहेत का,क्या आपके पास कोई प्लान के ऑफर्स है,browse plans v1
Show me the list of jio plans,मला जिओ प्लॅन्सचे लिस्ट दाखवा,मुझे जियो प्लान्स के लिस्ट सूची दिखाओ,browse plans v1
jio internet plans,जिओ इंटरनेटचे प्लॅन्स,जियो इंटरनेट प्लान्स,browse plans v1
Take me to data plans,मला डेटा प्लॅन्सवर न्या,मुझे डेटा प्लान्स पर ले चलो,browse plans v1
I want new plans,मला न्यू प्लॅन्स पाहिजे,मुझे नया प्लान चाहिए,browse plans v1
What is the plan for jio mobile,जिओ मोबाइलसाठी काय प्लॅन आहे,क्या प्लान्स है जियो मोबाइल के लिए,browse plans v1
Show voice call plan,वॉइस कॉल प्लॅन्स दाखवा,वॉइस कॉल का प्लान दिखाएं,browse plans v1
jio plan,जिओचा प्लॅन,जियो प्लान,browse plans v1
daily package offers,डेली पॅकेज ऑफर्स,डेली पैकेज ऑफर्स,browse plans v1
show jio plans,जिओचे प्लॅन्स दाखवा,जियो प्लान्स दिखाएं,browse plans v1
get my GB please,कृपया माझा जीबी दाखवा,मुझे जीबी दिखाएं,data usage v1
how much of internet have I used today,मी आज किती इंटरनेट यूज़ केला,मैंने आज कितना इंटरनेट यूज़ किया,data usage v1
how much data have I used today,मी आज किती डेटा यूज़ केला,आज मैंने कितना डेटा यूज़ किया,data usage v1
how much data have I consumed today,मी आज किती डेटा कन्सूम केला आहे,आज मैंने कितना डेटा कंज्यूम किया,data usage v1
check my today data usage,माझा आजचा डेटा यूसेज चेक करा,आज का डेटा यूसेज चेक करो मेरा,data usage v1
how much data used today,आज किती डेटा यूज़ केला,आज कितना डेटा यूज़ हुआ,data usage v1
mobile data for today,आजचा मोबाइल डेटा,आज का मोबाइल डेटा,data usage v1
data usage today,आजचा डेटा यूसेज,आज का डेटा यूसेज,data usage v1
how much data today,आज किती डेटा,कितना डाटा आज,data usage v1
View my data balance,माझा डेटा बॅलेन्स बघा,मेरा डेटा बैलेंस देखो,data usage v1
Check Data Balance,डेटा बॅलेन्स चेक करा,डेटा बैलेंस चेक कीजिये,data usage v1
Can you update me on my data balance,आपण माझ्या डेटा बॅलेन्सवर मला अपडेट करू शकता का,क्या आप मुझे डेटा बैलेंस का अपडेट दे सकते हैं मेरा,data usage v1
Do I have low data balance,माझ्याकडे लो डेटा बॅलेन्स आहे का,क्या मेरा डेटा बैलेंस लो है,data usage v1
Can you update on data balance,तुम्ही डेटा बॅलेन्सवर अपडेट करू शकता का,क्या डेटा बैलेंस का अपडेट दे सकते हो आप,data usage v1
How much data do I have left,माझ्याकडे किती डेटा बॅलेन्स आहे,मेरे पास कितना डेटा बाकी है,data usage v1
Check net balance,नेट बॅलेन्स चेक करा,नेट बैलेंस चेक करें,data usage v1
Do I have enough data balance,माझ्याकडे भरपूर डेटा बॅलेन्स आहे का,मेरे पास डेटा बैलेंस है क्या काफी,data usage v1
How many mb of data are remaining in my sim,माझ्या सिममध्ये किती एमबी डेटा उरलेला आहे,मेरे सिम में कितने mb डेटा बाकी है,data usage v1
How much net is left,किती नेट उरलेला आहे,कितना नेट बाकी है,data usage v1
How much data is still pending,अजूनही किती डेटा पेन्डिंग आहे,कितना डेटा अभी भी पेंडिंग है,data usage v1
How many gb of data are left,किती जीबी डेटा उरलेला आहे,कितने gb का डाटा बचा हुआ है,data usage v1
I want to see my mobile data balance,मला माझा मोबाइल डेटा बॅलेन्स बघायचा आहे,मैं अपने मोबाइल का डेटा बैलेंस देखना चाहूंगा,data usage v1
How much mobile data is remaining,किती मोबाइल डेटा उरलेला आहे,कितना मोबाइल डेटा बाकी है,data usage v1
May I know the data balance please,कृपया मला डेटा बॅलेन्स बद्दल सांगा,"क्या मैं डेटा बैलेंस जान सकता हूँ, प्लीज",data usage v1
My remaning data,माझा रिमैनिंग डेटा,मेरा बचा हुआ डेटा,data usage v1
What is my 4g data balance,माझे ४ जी डेटा बॅलेन्स काय आहे,क्या है मेरा ४ जी डेटा बैलेंस,data usage v1
How can I check that how much gb data is remaining in my net pack,माझ्या नेट पॅकमध्ये किती जीबी डेटा बॅलेन्स उरलेला आहे हे मी कसा चेक करू,मैं कैसे चेक करूँ कि कितना gb डेटा बाकी है मेरे नेट पैक में,data usage v1
remaining mb,रिमैनिंग एमबी,बचा हुआ एमबी,data usage v1
remaining gb,रिमैनिंग जीबी,बचा हुआ जीबी,data usage v1
remaining data,रिमैनिंग डेटा,बचा हुआ डेटा,data usage v1
net data,नेट डेटा,नेट डेटा,data usage v1
net balance,नेट बॅलेन्स,नेट बैलेंस,data usage v1
jio data balance,जिओ डेटाचा बॅलेन्स,जियो डेटा बैलेंस,data usage v1
mobile mb check,मोबाइलचा एमबी चेक करा,एमबी चेक करें मोबाइल का,data usage v1
jio net balance,जिओ नेट बॅलेन्स,जियो नेट बैलेंस,data usage v1
please check my mb balance,माझा एमबी बॅलन्स चेक करा प्लीज़,मेरा एमबी बैलेंस चेक करें प्लीज,data usage v1
available data,अवैलबल डेटा,अवेलेबल डेटा,data usage v1
check mb,एमबी चेक करा,एमबी चेक करें,data usage v1
data enquiry,डेटा एन्क्वाइअरी,डेटा एन्क्वाइअरी,data usage v1
jio mb,जियो एमबी,जियो एमबी,data usage v1
show internet balance,इंटरनेट बॅलन्स दाखवा,इंटरनेट बैलेंस दिखाएं,data usage v1
get me data balance,मला डेटा बॅलन्स आणा,मुझे डेटा बैलेंस चाहिए,data usage v1
What is my bill payment history,माझ्या बिल पेमन्टची हिस्टरी काय आहे,मेरे बिल पेमेंट का हिस्ट्री क्या है,postpaid bill payment  v1
Show me my bill payment history,मला माझी बिल पेमन्टची हिस्टरी दाखवा,मेरे बिल पेमेंट का हिस्ट् दिखाओ मुझे,postpaid bill payment  v1
previous payment details,प्रीवीअस पेमन्टची डिटेल्स,प्रीवियस पेमेंट का हिस्ट्री,postpaid bill payment  v1
Was my previous payment successful,माझा प्रीवीअस पेमन्ट सक्सेस्फूल होतो का,क्या मेरा प्रीवियस पेमेंट सक्सेस्फुल था,postpaid bill payment  v1
I have paid my bills where can i get their details,मी माझे बिल्स भरले आहेत त्यांचे डिटेल्स मला कुठे भेटेल,मैंने अपने बिल्स भरें है तो उसके डिटेल्स मुझे कहाँ मिलेंगे,postpaid bill payment  v1
Show me paid bill details on my jio number,माझ्या जिओ नंबरवर मला पेड बिल डिटेल्स दाखवा,मुझे मेरे जियो नंबर पर भरे हुए बिल के डिटेल्स दिखाएं,postpaid bill payment  v1
view my payment details,माझे पेमन्ट डिटेल्स पहा,मेरे पेमेंट डिटेल्स देखें,postpaid bill payment  v1
Show my bill payment detials,माझे बिल पेमन्ट डिटेल्स दाखवा,मेरे बिल पेमेंट के डिटेल्स दिखाओ मुझे,postpaid bill payment  v1
Get me payment details of my preious bills,माझ्या प्रीवीअस बिलांची पेमन्ट डिटेल्स आणा,मेरे प्रीवियस बिल्स की पेमेंट डिटेल्स दिखा दीजिये मुझे,postpaid bill payment  v1
Show my bill payment details,माझा बिल पेमन्ट डिटेल्स दाखवा,मेरा बिल पेमेंट डिटेल्स दिखा दीजिये,postpaid bill payment  v1
Get me payment details of my previous bills,माझा प्रीवीअस बिल्सचे पेमन्ट डिटेल्स आणा,मुझे मेरे प्रीवियस बिल्स की पेमेंट डिटेल्स दिखाएं,postpaid bill payment  v1
I want to know details of my bill payment,मला माझ्या बिल पेमन्टची डिटेल्स हवी,मैं अपनी बिल पेमेंट की डिटेल्स जानना चाहता हूँ,postpaid bill payment  v1
How can I see payment history page,मी पेमन्ट हिस्टरी पेज कसा पाहू शकतो,मैं पेमेंट हिस्ट्री पेज कैसे देख सकता हूं,postpaid bill payment  v1
I want to see history of my bill payment,मला माझ्या बिल पेमन्टची हिस्टरी बघायची आहे,मैं अपनी बिल पेमेंट की डिटेल्स देखना चाहता हूं,postpaid bill payment  v1
Give me the details of my paid jio bills,माझ्या पेड जिओ बिलांचा डिटेल्स द्या मला,मुझे मेरे भरे हुए जियो बिल्स के डिटेल्स दें,postpaid bill payment  v1
See my last bill,माझा लास्ट बिल बघा,मेरा लास्ट बिल देखिए,postpaid bill payment  v1
whats my recent paid bill,माझा रीसन्ट पेड बिल काय आहे,मेरा रीसेंट भरा हुआ बिल क्या है,postpaid bill payment  v1
show me my old bill date,मला माझी ओल्ड बिल डेट दाखवा,मेरे पुराने बिल का डेट दिखाओ मुझे,postpaid bill payment  v1
recharge history details,रीचार्ज हिस्टरी डिटेल्स,रिचार्ज हिस्ट्री डिटेल्स,prepaid recharge history v1
when was my last recharge,माझा लास्ट रीचार्ज कधी होता,मेरा लास्ट रिचार्ज कब था,prepaid recharge history v1
what was my last recharge date,माझा लास्ट रीचार्ज डेट कोणता होता,मेरा लास्ट रिचार्ज का डेट क्या था,prepaid recharge history v1
can you show my recharge history,आपण माझा रीचार्ज हिस्टरी दाखवू शकता का,मेरा रिचार्ज हिस्ट्री दिखा सकते हो क्या आप,prepaid recharge history v1
i want to find details of my previous recharges,मला माझ्या प्रीवीअस रिचार्जीसचे डिटेल्स शोधायचे आहे,मैं अपने पुराने रिचार्जिस की डिटेल्स ढूँढना चाहता हूं,prepaid recharge history v1
where can i veiw my past recharges,मी माझे पास्ट रिचार्जीस कोठे पाहू शकतो,मैं अपने पुराने रिचार्जिस कहां देख सकता हूं,prepaid recharge history v1
how do i check details of my last recharge,मी माझ्या लास्ट रिचार्जची डिटेल्स कसा चेक करू,मैं अपने पुराने रिचार्ज की डिटेल्स कैसे देखूं,prepaid recharge history v1
when did i last recharge,मी लास्ट रिचार्ज कधी केला,मैंने लास्ट रिचार्ज कब किया था,prepaid recharge history v1
Recharge History,रिचार्ज हिस्टरी,रिचार्ज हिस्ट्री,prepaid recharge history v1
all my recharge details,माझे सगळे रिचार्ज डिटेल्स,मेरे सारे रिचार्ज डिटेल्स,prepaid recharge history v1
Can you please show me my recharge payment history,आपण मला माझा रिचार्ज पेमन्ट हिस्टरी दाखवू शकता का,क्या आप मुझे मेरा रिचार्ज पेमेंट हिस्ट्री दिखा सकते हैं,prepaid recharge history v1
Where can I get details of recharges I have done,मी केलेल्या रिचार्जीसचे डिटेल्स मला कुठे मिळणार,मुझसे किये गए सारे रिचार्ज की डिटेल्स कहाँ मिलेगी,prepaid recharge history v1
From where should I see my last recharge,मी माझा लास्ट रिचार्ज कुठे बघू,मैं अपना लास्ट रिचार्ज कहाँ से देखूं,prepaid recharge history v1
Where will I see my last recharge,मला माझा लास्ट रिचार्ज कुठे दिसेल,मुझे मेरा लास्ट रिचार्ज कहाँ दिखाई देगा,prepaid recharge history v1
recharges I have done till now,आत्तापर्यंत केलेले माझे रिचार्जीस,अब तक के किये गए रिचार्जिस,prepaid recharge history v1
Can I see my recharge payment history,मी माझा रिचार्ज पेमन्ट हिस्टरी बघू शकतो का,क्या देख सकता हूं मैं अपना रिचार्ज पेमेंट हिस्ट्री,prepaid recharge history v1
Give me last six months recharge,मला लास्ट सहा महिन्यांचे केलेले रिचार्जीस द्या,मुझे पिछले छह महीने के रिचार्ज दीजिये,prepaid recharge history v1
When was the last time I did a recharge,मी लास्ट रिचार्ज कधी केला होता,मैंने लास्ट रिचार्ज कब किया था,prepaid recharge history v1
myjio recharge update,माझा जिओ रिचार्ज अपडेट,मेरा जियो रिचार्ज अपडेट,prepaid recharge history v1
give me the details of previous jio recharges,प्रीवीअस जिओ रिचार्जची डिटेल्स द्या मला,प्रीवियस जियो रिचार्जिस के डिटेल्स दें मुझे,prepaid recharge history v1
history of my jio recharge payments,माझ्या जिओ रिचार्ज पेमेंट्सची हिस्टरी,मेरे जियो रिचार्ज पेमेंट्स की हिस्ट्री,prepaid recharge history v1
Whom all have I sent SMS today,कोणाकोणाला मी आज एसएमएस पाठवला आहे,मैंने आज किस किसको एसएमएस भेजा है,sms usage v1
how many sms have i sent from jio number,जिओ नंबरवरून मी किती एसएमएस पाठवले,मैंने कितने एसएमएस भेजे हैं जियो नंबर से,sms usage v1
give me sms usage details,मला एसएमएस यूसेज डिटेल्स द्या,मुझे एसएमएस यूसेज की डिटेल्स दें,sms usage v1
SMS Usage,एसएमएस यूसेज,एसएमएस यूसेज,sms usage v1
Show me details about my sent sms,सेंट एसएमएस बद्दल डिटेल्स दाखवा मला,मुझे मेरे सेंट एसएमएस की डिटेल्स दिखाएं,sms usage v1
text usage of my mobile,माझ्या मोबाइलचा टेक्स्ट यूसेज,मेरे मोबाइल का टेक्स्ट यूसेज,sms usage v1
Check my jio number sms usage,माझ्या जिओ नंबरचा एसएमएस वापर यूसेज चेक करा,मेरे जियो नंबर का एसएमएस यूसेज चेक करें,sms usage v1
Tell me my overall sms usage,माझा ओवरऑल एसएमएस यूसेज सांगा,मुझे मेरा ओवरऑल एसएमएस यूसेज बताएं,sms usage v1
Display my sms usage,माझा एसएमएस यूसेज डिस्प्ले करा,मेरा एसएमएस यूसेज डिस्प्ले करें,sms usage v1
What is my number message usage,माझा नंबर मेसेज यूसेज काय आहे,मेरा नंबर मैसेज यूसेज क्या है,sms usage v1
Check my jionumber sms usage,माझा जिओ नंबरचा एसएमएस यूसेज चेक करा,मेरे जियो नंबर का एसएमएस यूसेज चेक कीजिये,sms usage v1
give me my recent bill,मला माझा रीसन्ट बिल द्या,मुझे मेरा रीसेंट बिल दीजिये,view my bill v1
where would i get my latest bill,मला माझा लेटेस्ट बिल कुठे मिळेल,मुझे मेरा लेटेस्ट बिल कहां मिलेगा,view my bill v1
show current bills,करंट बिल्स दाखवा,करंट बिल दिखाएं,view my bill v1
show my bills,माझे बिल्स दाखवा,मेरे बिल्स दिखाओ,view my bill v1
open bills for me,माझ्यासाठी बिल्स ओपन करा,मेरे बिल्स ओपन करो,view my bill v1
my recent bill,माझा रीसन्ट बिल,मेरा रीसेंट बिल,view my bill v1
my postpaid bill,माझा पोस्टपेड बिल,मेरा पोस्टपेड बिल,view my bill v1
my latest bill,माझा लेटेस्ट बिल,मेरा लेटेस्ट बिल,view my bill v1
Give me updates of my postpaid bills,माझ्या पोस्टपेड बिल्सवर अपडेट द्या मला,मुझे मेरे पोस्टपेड बिल्स का अपडेट दें,view my bill v1
current bills for jio sim,जिओ सिमचे  करंट बिल्स,जियो सिम के करंट बिल्स,view my bill v1
Show me my previous bills,माझा प्रीवीअस बिल्स मला दाखवा,मेरे प्रीवियस बिल्स दिखाओ मुझे,view my bill v1
Where can I check my bill,मी माझा बिल कुठे चेक करू शकतो,मैं अपना बिल कहां चेक कर सकता हूं,view my bill v1
Could you please tell me my bill amount,तुम्ही मला माझा बिलचा अमाऊंट सांगू शकता का,क्या आप मेरे बिल की राशि बता सकते हैं मुझे,view my bill v1
whats my bill status,माझा बिल स्टेटस काय आहे,मेरे बिल की स्टेटस क्या है,view my bill v1
please give me my bill details,मला माझे बिल डिटेल्स द्या प्लीज़,मुझे मेरे बिल की डिटेल्स दे दीजिये प्लीज,view my bill v1
show myjio bills,माझे जिओ बिल्स दाखवा,मायजियो बिल्स दिखाओ,view my bill v1
What is the validity of my plan,माझ्या प्लॅनची वॅलिडिटी काय आहे,मेरी प्लान की वैलिडिटी क्या है,view my plan expiry v2
Do you know when my plan is expiring,माझा प्लॅन कधी एक्स्पायर होत आहे तुम्हांला माहित आहे काय,क्या आप जानते हैं कि मेरा प्लान कब खतम हो रहा है,view my plan expiry v2
View My Plan Expiry,माझी प्लॅनची एक्स्पायरी बघा,मेरे प्लान की एक्सपायरी देखें,view my plan expiry v2
balance expiry date,बॅलन्स एक्स्पायरीची डेट,बैलेंस एक्सपायरी की डेट,view my plan expiry v2
Has my recharge got over,माझा रिचार्ज संपला काय,मेरा रिचार्ज खत्म हो गया है क्या,view my plan expiry v2
how to check net pack validity,नेट पॅक वॅलिडिटी कशी चेक करायची,नेट पैक की वैलिडिटी कैसे चेक करें,view my plan expiry v2
Can you tell me what is the expiration date of my plan,माझ्या प्लॅनची एक्स्पायरी डेट काय आहे ते आपण मला सांगू शकता,क्या आप मुझे बता सकते हैं कि मेरे प्लान की एक्सपायरी डेट क्या है,view my plan expiry v2
Can you show me my plan validity,आपण मला माझी प्लॅनची वॅलिडिटी दाखवू शकता,क्या आप मुझे मेरे प्लान की वैलिडिटी दिखा सकते हैं,view my plan expiry v2
My plan due date,माझ्या प्लॅनचा ड्यू डेट,मेरे प्लान का ड्यू डेट,view my plan expiry v2
validity of current plan,करंट प्लॅनची वॅलिडिटी,करंट प्लान की वैलिडिटी,view my plan expiry v2
plan deactivate date,प्लॅनचा डीऐक्टिवैट डेट,प्लान की डीएक्टिवेशन डेट,view my plan expiry v2
When will my internet package expire,माझा इंटरनेट पॅकेज कधी एक्स्पायर होईल,मेरा इंटरनेट पैकेज कब ख़तम हो जायेगा,view my plan expiry v2
When will my mobile net pack finish,माझ्या मोबाइलचा नेट पॅक केव्हा संपेल,मेरा मोबाइल नेट पैक कब ख़तम होने वाला है,view my plan expiry v2
end date of my jio plan,माझ्या जिओ प्लानचा एन्ड डेट,मेरे जियो प्लान का एन्ड डेट,view my plan expiry v2
When should I do my next recharge,मी माझा नेक्स्ट रिचार्ज कधी करू,मुझे कब करना चाहिए अपना अगला रिचार्ज,view my plan expiry v2
Show the validity date,वॅलिडिटी डेट दाखवा,वैलिडिटी डेट दिखाएं,view my plan expiry v2
What is the expiry date,एक्स्पायरी डेट काय आहे,क्या है एक्सपायरी डेट,view my plan expiry v2
When is my next recharge to be done,माझा नेक्स्ट रिचार्ज कधी करायचा आहे,मेरा अगला रिचार्ज कब होना चाहिए,view my plan expiry v2
When is my plan getting expired,माझा प्लॅन कधी एक्स्पायर होतो,मेरा प्लान कब ख़तम होगा,view my plan expiry v2
validity of my jio plan,माझ्या जिओ प्लॅनची वॅलिडिटी,मेरे जियो प्लान की वैलिडिटी,view my plan expiry v2
how to check jio data validity,जिओ डेटा वॅलिडिटी कशी चेक करायची,जियो डेटा की वैलिडिटी कैसे चेक करें,view my plan expiry v2
when does my plan expire,माझा प्लॅन कधी एक्स्पायर होतोय,मेरा प्लान कब इक्स्पाइअर होगा,view my plan expiry v2
when will my plan end,माझा प्लॅन कधी एन्ड होणार,मेरा प्लान कब एन्ड होगा,view my plan expiry v2
when does my account expire,माझा अकाउंट कधी एक्स्पायर होईल,मेरा अकॉउंट कब इक्स्पाइअर होगा,view my plan expiry v2
what are plans in my jio number,माझ्या जिओ नंबरमध्ये काय प्लॅन्स आहे,मेरे जियो नंबर पर क्या प्लान्स हैं,view my plan v1
view my jio plans,माझा जिओ प्लॅन्स बघा,मेरे जियो प्लान्स देखें,view my plan v1
What plans are there under my account,माझ्या अकाउंटमध्ये काय प्लॅन्स आहेत,मेरे अकाउंट में क्या प्लान्स हैं,view my plan v1
fetch my current plan,माझा करंट प्लॅन फेच करा,मेरा करंट प्लान दिखा दो,view my plan v1
give me details of my plan,मला माझ्या योजनेचा तपशील द्या,मुझे मेरे प्लान की डिटेल्स दे दो,view my plan v1
view my plan,प्लॅन बघा माझा,मेरा प्लान देखें,view my plan v1
my current plan,माझी करंट प्लॅन,मेरा करंट प्लान,view my plan v1
what do you know about my current plan,माझ्या कयूरेंत प्लॅनबद्दल तुम्हाला काय माहित आहे,आप मेरे करंट प्लान के बारे में क्या जानते हैं,view my plan v1
show my voice plan,माझा वॉइस प्लॅन दाखवा,मेरा वॉइस प्लान दिखाओ,view my plan v1
get me details of my plan,माझ्या प्लॅनचा डिटेल्स आणा मला,मेरे प्लान के डिटेल्स लाओ,view my plan v1
What are my plan entitlements,माझ्या प्लॅनचा एंटाइटलमेंट्स काय आहे,मेरे प्लान के एंटाइटलमेंट्स क्या हैं,view my plan v1
Give me information about my current plan,माझ्या करंट प्लॅनबद्द्ल मला इन्फॉर्मैशन द्या,मुझे मेरे करंट प्लान्स के बारे में जानकारी दीजिये,view my plan v1
Fetch my current plan details for me,माझ्या करंट प्लॅनची डिटेल्स आणा माझ्यासाठी,मेरे करंट प्लान की डिटेल्स मेरे लिए फेच करें,view my plan v1
existing jio plan for my account,माझ्या अकाउंटसाठी एग्ज़िस्टिंग जिओ प्लॅन,मेरे अकाउंट के लिए एक्सिस्टिंग जियो प्लान,view my plan v1
List details of my active plan,माझ्या ऐक्टिव प्लॅनची डिटेल्स लिस्ट करा,मेरे एक्टिव प्लान की डिटेल्स को लिस्ट करें,view my plan v1
current status of my jio plans,माझ्या जिओ प्लॅन्सचा करंट स्टेटस,मेरे जियो प्लान का करंट स्टेटस,view my plan v1
Check my present internet plan,माझा प्रेझेन्ट इंटरनेट प्लॅन चेक करा,मेरा प्रेजेंट इंटरनेट प्लान चेक करें,view my plan v1
I wish to know total plans on my account,माझ्या अकाउंटवर टोटल किती प्लॅन्स आहेत मला जाणून द्या,मैं जानना चाहता हूं मेरे अकाउंट पर टोटल कितने प्लान्स हैं,view my plan v1
How is my current plan,माझा करंट प्लॅन कसा आहे,मेरा करंट प्लान कैसा है,view my plan v1
the current plan on my device,माझ्या डिवाइसवरील करंट प्लॅन,मेरे डिवाइस पर करंट प्लान,view my plan v1
Provide me information about my account plans,माझ्या अकाउंट प्लॅन्सबद्दल मला माहिती द्या,मेरी अकाउंट प्लान्स के बारे में जानकारी दें,view my plan v1
Give me full view of my plans,माझ्या प्लॅन्सचा मला पूर्ण व्ह्यू द्या,मुझे मेरे प्लान्स के बारे में पूरी जानकारी दें,view my plan v1
Show me my plans from myjio,मायजिओ मधून मला माझे प्लॅन्स दाखवा,मुझे मायजियो से मेरे प्लान्स दिखाएं,view my plan v1
What is the current plan for my number,माझ्या नंबरसाठी करंट प्लॅन काय आहे,क्या है मेरे नंबर के लिए करंट प्लान,view my plan v1
Need to know about my plans,माझ्या प्लॅन्सबद्दल माहिती असायला हवी,मैं अपने प्लान्स के बारे में जानना चाहता हूँ,view my plan v1
How many plans do I have,माझ्याकडे किती प्लॅन्स आहेत,मेरे पास कितने प्लान्स हैं,view my plan v1
How can I know my latest jio plan,मला माझा लेटेस्ट जिओ प्लॅनबद्दल कशी माहिती मिळेल,मेरा लेटेस्ट जियो प्लान क्या है कैसे जानें,view my plan v1
Try Again,पुन्हा ट्राइ करा,दोबारा कोशिश करें,view my plan v1
show me statement of myjio account,मला मायजिओ अकाउंटचा स्टेटमेंट दाखवा,मेरे मायजियो अकाउंट का स्टेटमेंट दिखा दीजिये,view my statement v1
