message,food,recharge,support,reminders,travel,nearby,movies,casual,other
i want enquiry number of d y patil international school pune,F,F,F,F,F,T,F,F,F
this promo code,F,T,F,F,T,F,T,F,F
remind me to check crown it on friday at 3.45pm,F,F,F,T,F,F,F,F,F
why din you calll me i gave an remindsr yesturday,F,F,F,T,F,F,F,F,F
"but if are taking so long, then ticket fare may increase...",F,F,F,F,T,F,F,F,F
hi... i want a maid for baby in jaipur ..can u help me with that,F,F,T,F,F,F,F,F,F
what is the cost for small and midium size for corn pizza,T,F,F,F,F,F,F,F,F
i will go when i get cheap tickets,F,F,F,F,T,F,F,F,F
check hotels nearby pune railway station,F,F,F,F,T,T,F,F,F
offers for cab?,F,F,F,F,T,F,F,F,F
any 10 rs available for any movies,F,F,F,F,F,F,T,F,F
madam i am driver,F,F,T,F,T,F,F,F,F
logan is the movie,F,F,F,F,F,F,T,F,F
after every 1hour,F,F,F,T,F,F,F,F,F
please show me one way flights from mumbai to chennai 		onward date - 24 march,F,F,F,F,T,F,F,F,F
how can i off this remainder...	i had completed my course,F,F,F,T,F,F,F,F,F
booked earlier,F,F,F,F,T,F,F,F,F
saturday	4231582947 deepak lulla	n5 lcd,F,F,F,T,F,F,F,F,F
want to use wallet balance,T,F,F,F,F,F,F,F,F
what food can i get right now??,T,F,F,F,F,F,F,F,F
nail polish 💅🏻 shop,F,F,F,F,F,T,F,F,F
i want flight within rs 1500,F,F,F,F,T,F,F,F,F
hi sakshi my electricity bill is still peding.,F,T,F,F,F,F,F,F,F
"unable to set wake up call, seems not user friendly",F,F,F,T,F,F,F,F,F
movie,F,F,F,F,F,F,T,F,F
25 members,T,F,F,F,F,F,F,F,F
ernakulam,T,T,T,F,T,T,T,F,F
please upload my all tickets,F,F,F,F,T,F,T,F,F
need a hotel booking,F,F,F,F,T,F,F,F,F
i thought i can reach my destination for 200 rs,F,F,F,F,T,F,F,F,F
check in all the trains to nashik in the morning,F,F,F,F,T,F,F,F,F
mujhe alto agency ka contect number cheye... alwar rajasthan ka,F,F,F,F,F,T,F,F,F
i have a jio sim card so no need to recharge. and i know you too,F,T,F,F,F,F,F,F,F
now plz show me my all reminderz,F,F,F,T,F,F,F,F,F
"i have a movie show in the morning, cane you please remind me",F,F,F,F,F,F,T,F,F
remind me at 9;35,F,F,F,T,F,F,F,F,F
"hey, i want to book movie tickets.{task}",F,F,F,F,F,F,T,F,F
tom at 8pm,F,F,F,T,F,F,F,F,F
2428644243	this is my pnr status kindly give me detail of my waiting list..both pqwl and wl,F,F,F,F,T,F,F,F,F
ok need flight phuket to bangkok,F,F,F,F,T,F,F,F,F
i want you to set up a reminder,F,F,F,T,F,F,F,F,F
200pm,F,F,F,F,T,F,F,F,F
on sunday night at 9,F,F,F,F,T,F,T,F,F
but payment is not done,F,T,F,F,T,F,F,F,F
3 march ka,F,F,F,T,T,F,F,F,F
irctc?,F,F,F,F,T,F,F,F,F
any offers on reliance,F,T,F,F,F,F,F,F,F
reliance to vodafone or idea,F,T,F,F,F,F,F,F,F
remind me to get some things,F,F,F,T,F,F,F,F,F
can you find the nearest atm,F,F,F,F,F,T,F,F,F
near railway station?,F,F,F,F,F,T,F,F,F
i had scheduled a cab for 3:40 a.m. can i get it now?,F,F,F,F,T,F,F,F,F
set it for 30 minutes,F,F,F,T,F,F,F,F,F
hotel fresco palace,F,F,F,F,T,F,F,F,F
hey can u pls check out anjali madam where is a iob atm near by my location,F,F,F,F,F,T,F,F,F
banglore to delahi 7.2.2017,F,F,F,F,T,F,F,F,F
i want to off my reminder,F,F,F,T,F,F,F,F,F
send me ticket,F,F,F,F,T,F,F,F,F
punjab national bank,F,F,F,F,F,T,F,F,F
which is open right now,T,F,F,F,F,F,F,F,F
saiyaji,F,F,F,F,F,T,F,F,F
tomorrow meeting with vishal 9th cbse at 2pm..	remind me at 1.30pm,F,F,F,T,F,F,F,F,F
please give regular call until i pick in morning,F,F,F,T,F,F,F,F,F
can u find the courier service at pin 759018,F,F,T,F,F,F,F,F,F
could you please find me hdfc bank nearest to my location,F,F,F,F,F,T,F,F,F
thanks for all the reminders,F,F,F,T,F,F,F,F,F
12835,F,F,F,F,T,F,F,F,F
show me movie shows at city pride pune,F,F,F,F,F,F,T,F,F
date is 9th to 10th march,F,F,F,F,T,F,F,F,F
i was luking for train tickets booking,F,F,F,F,T,F,F,F,F
i see jolly llb 2 movie,F,F,F,F,F,F,T,F,F
"24th may, patna, bangalore",F,F,F,F,T,F,F,F,F
i'll do that via official app. how about airtel dth?,F,T,F,F,F,F,F,F,F
can you add my shop detail in to your database.,F,F,F,F,F,T,F,F,F
want to travel mumbai to pune  return tom,F,F,F,F,T,F,F,F,F
i want molten lava cake,T,F,F,F,F,F,F,F,F
only between 10:00am to 6:00pm,F,F,F,T,F,F,F,F,F
"chikmagalur, karnataka",F,F,F,F,F,T,F,F,F
turn off my medicine reminder,F,F,F,T,F,F,F,F,F
train location,F,F,F,F,T,F,F,F,F
train250 offer still available or not,F,F,F,F,T,F,F,F,F
want to watch la la land,F,F,F,F,F,F,T,F,F
do you have any info about trains traveling to delhi,F,F,F,F,T,F,F,F,F
i want to pay my hathaway broadband bill,F,T,F,F,F,F,F,F,F
can u wake me up everyday,F,F,F,T,F,F,F,F,F
need to book flights for 2 for mumbai and return. for a short vacation after visiting shirdi,F,F,F,F,T,F,F,F,F
can you fund icici atm,F,F,F,F,F,T,F,F,F
can i recharge for jio?,F,T,F,F,F,F,F,F,F
gd afternoon,F,F,F,T,F,F,F,F,F
"i would like to cancel my medicine reminder for everyday at 09:30 pm { reminder_list: 361805, user_id: 1866947, task_name: medicine, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
hi is there any offer on mobile bill payments,F,T,F,F,F,F,F,F,F
can u locate any sports shop near my location,F,F,F,F,F,T,F,F,F
i need ola,F,F,F,F,T,F,F,F,F
aurangabad to nanded train available ??,F,F,F,F,T,F,F,F,F
menu,T,F,F,F,F,F,F,F,F
if don't call me again,F,F,F,T,F,F,F,F,F
nt restaurants,T,F,F,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for fri, 03 march at every 30 minutes from 10:00 am to 8:00 pm. { reminder_list: 685605-685606-685607-685609-685610-685611-685612-685613-685614-685615-685616-685617-685618-685619-685620-685621-685622-685623-685624-685625-685626, user_id: 1956738, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
i want subway menu,T,F,F,F,F,F,F,F,F
"i want to know availability and fare in sleeper (sl) in train number 07439{product_id:07439_bza_kcg,api_name:trains_api}",F,F,F,F,T,F,F,F,F
actually i need this reminder every month on 1,F,F,F,T,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 620653, user_id: 1957209, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
delhi to bombay ticket,F,F,F,F,T,F,F,F,F
there is a number of a tran that is 12474. we made a plan to go gujrat. i want to know that is there any seats available for two person on 24 may 2017. i need it from ambala to sabarti,F,F,F,F,T,F,F,F,F
fare?,F,F,F,F,T,F,F,F,F
to book,F,F,F,F,T,F,F,F,F
pnr  m8nlpz  7 march,F,F,F,F,T,F,F,F,F
buffet in powai,T,F,F,F,F,F,F,F,F
jhon wick 2,F,F,F,F,F,F,T,F,F
"hello priyanka, i want to get my window ac service done. please let me know the charges",F,F,T,F,F,F,F,F,F
theaters,F,F,F,F,F,F,T,F,F
hubballi,F,F,F,F,T,T,T,F,F
wat abt my tdr status,F,F,F,F,T,F,F,F,F
have you recharge jio prime,F,T,F,F,F,F,F,F,F
show me the return journey prices as well?,F,F,F,F,T,F,F,F,F
comando2 ke show ki timing kya maratha mandir me,F,F,F,F,F,F,T,F,F
it is unlimited calling pack,F,T,F,F,F,F,F,F,F
no train,F,F,F,F,T,F,F,F,F
call dipakbhai at 10.05 am,F,F,F,T,F,F,F,F,F
thank you.. i have already booked the tickets..,F,F,F,F,T,F,T,F,F
i want to book bus ticket,F,F,F,F,T,F,F,F,F
plz send menu of global food factory rajouri garden,T,F,F,F,F,F,F,F,F
2428786518{task},F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for fri, 03 march at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 693975-693976-693977, user_id: 1930915, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
i actually want to go to nashik,F,F,F,F,T,F,F,F,F
running status of 12481,F,F,F,F,T,F,F,F,F
"it's a landline bill, i don't remember the exact amount!  somewhere around 400",F,T,F,F,F,F,F,F,F
i just want to nearby release,F,F,F,F,F,F,T,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 710340, user_id: 1060609, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
can u order a sub from subway,T,F,F,F,F,F,F,F,F
i have already set the reminders,F,F,F,T,F,F,F,F,F
to hubli next saturday,F,F,F,F,T,F,F,F,F
eligible??,F,T,F,F,T,F,T,F,F
i want you to remind me not to trust assholes time and again,F,F,F,T,F,F,F,F,F
on 15 march,T,F,F,T,T,F,T,F,F
yes i was about to pay my bill,F,T,F,F,F,F,F,F,F
show cheaper,F,F,F,F,T,F,F,F,F
i can't understand why is it cancelled,T,F,F,F,T,F,F,F,F
do we provide bus bookings as well?,F,F,F,F,T,F,F,F,F
still my order came,T,F,F,F,F,F,F,F,F
near edappally,T,F,F,F,F,F,T,F,F
hi i want some help with train travle,F,F,F,F,T,F,F,F,F
"hi, i'm interested in watching dangal. {movie_name:dangal}{task}",F,F,F,F,F,F,T,F,F
it is near to chauramata mandir,F,F,F,F,F,T,F,F,F
i want to know about cash back offer,F,T,F,F,T,F,F,F,F
please tell me the fare for monrovia to mumbai,F,F,F,F,T,F,F,F,F
how many remainder you have set for me,F,F,F,T,F,F,F,F,F
gateygalaxy theatre,F,F,F,F,F,F,T,F,F
commando2 in nandyal,F,F,F,F,F,F,T,F,F
is the payment done,T,T,T,F,T,F,T,F,F
i'm tapping but it's not connecting,F,F,F,F,T,F,F,F,F
appx 10.30 am,F,F,F,T,T,F,T,F,F
"		i would like to cancel my wake up call for sun, 05 march at 12:15 pm { reminder_list: 691119, user_id: 1979136, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
remind me on 9th march abt meeting dr for ear stitching,F,F,F,T,F,F,F,F,F
means after discount,T,T,F,F,T,F,T,F,F
in which theatre i can see this movie,F,F,F,F,F,F,T,F,F
i'm in my way to trichy,F,F,F,F,T,F,F,F,F
please show me one way flights from hyderabad to kochi 		onward date - 09 march,F,F,F,F,T,F,F,F,F
"how much will be the expected fare, for 8-9 kms distance?",F,F,F,F,T,F,F,F,F
wake up me all day at 8 am,F,F,F,T,F,F,F,F,F
i have any discount code n all ?,F,F,F,T,F,F,F,F,F
which movie in shoprix mall,F,F,F,F,F,F,T,F,F
pnr bd5itd,F,F,F,F,T,F,F,F,F
thanks vipul for remind me,F,F,F,T,F,F,F,F,F
i want near sheikh zayed road,F,F,F,F,F,T,F,F,F
my ride is over,F,F,F,F,T,F,F,F,F
barnala to rajpura first bus ?,F,F,F,F,F,T,F,F,F
please help me with their fares,F,F,F,F,T,F,F,F,F
the best plan for airtel postpaid,F,T,F,F,F,F,F,F,F
pay bill,F,T,F,F,F,F,F,F,F
whats the cost,T,F,F,F,T,F,F,F,F
"hi, i'm interested in watching dwaraka. {movie_name:dwaraka}{task}",F,F,F,F,F,F,T,F,F
remind me tomorrow morning		meetings on monday	10 am vishal ji with dashpreet 	2 pm pc jain with vijay thakur,F,F,F,T,F,F,F,F,F
"		i would like to cancel my reminder to 'thanks' for everyday at 07:30 am { reminder_list: 591013, user_id: 1944119, task_name: other, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"		i would like to cancel my reminder for everyday at 08:00 am { reminder_list: 648179, user_id: 1932004, task_name: other, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"hey, can you send me regular reminders to drink water 💧 ? {task}",F,F,F,T,F,F,F,F,F
i want the menu of pizza hut,T,F,F,F,F,F,F,F,F
18406,F,F,F,F,T,F,F,F,F
taxi required at chandigarh airport to ludhuana.  pl inform,F,F,F,F,T,F,F,F,F
where do i get good shawarma here?,T,F,F,F,F,F,F,F,F
need 190 rc airtel.,F,T,F,F,F,F,F,F,F
electricity fuse is getting tripped frequently after last electrician did something,F,F,T,F,F,F,F,F,F
is there any cashback on booking train ticket,F,F,F,F,T,F,F,F,F
i want to mumbai area show time,F,F,F,F,F,F,T,F,F
"for the above details, can u tell me which type of cab is?",F,F,F,F,T,F,F,F,F
"		i would like to cancel my wake up call for sat, 04 march at 07:35 am { reminder_list: 701817, user_id: 1937293, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"		i would like to cancel my wake up call for mon, 06 march at 06:00 am { reminder_list: 725389, user_id: 1984495, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
what's code,F,T,F,F,F,F,F,F,F
i think dat is chepst one,F,F,F,F,T,F,F,F,F
i will wait until tickets below 1700. tell me later,F,F,F,F,T,F,F,F,F
jio store,F,F,F,F,F,T,F,F,F
can you find me the cheapest flight from imphal to guwahati 28th april,F,F,F,F,T,F,F,F,F
villiwakkam to changelpet season  ticket cost,F,F,F,F,T,F,F,F,F
call me at 6.59,F,F,F,T,F,F,F,F,F
movie tonight,F,F,F,T,F,F,F,F,F
i don't get your reminders,F,F,F,T,F,F,F,F,F
i want to know if senior citizens can. easily book cab,F,F,F,F,T,F,F,F,F
hey i need to be reminded of sunday meeting at 11:00 am,F,F,F,T,F,F,F,F,F
payment done,F,F,F,F,T,F,F,F,F
shell petrol station,F,F,F,F,F,T,F,F,F
"i am khandeshwar, navi mumbai",T,F,T,F,T,T,T,F,F
please show me trains from r to kur for sleeper (sl) on 12-03-2017.,F,F,F,F,T,F,F,F,F
have you got the payment,T,T,F,F,T,F,T,F,F
ticket's,F,F,F,F,T,F,T,F,F
its done and ride amount was 100 paid vy ola money,F,F,F,F,T,F,F,F,F
plez tell me train delay or not,F,F,F,F,T,F,F,F,F
stop this wake up calls,F,F,F,T,F,F,F,F,F
we are 10 people wants to travel to amritsar,F,F,F,F,T,F,F,F,F
i want have some non veg pizzas,T,F,F,F,F,F,F,F,F
i did not say u to call,F,F,F,T,F,F,F,F,F
i need m r f tayar showroom,T,F,F,F,F,F,F,F,F
pls cancel the alarm,F,F,F,T,F,F,F,F,F
stop this service please,F,F,F,T,F,F,F,F,F
how much distance from aadityavardhan,F,F,F,F,F,T,F,F,F
my class is tommorow at 1pm do call me,F,F,F,T,F,F,F,F,F
no thanks i booked my self,F,F,F,F,T,F,T,F,F
please set my wake up alarm at 08:00am weekdays,F,F,F,T,F,F,F,F,F
i have to go for movie,F,F,F,F,F,F,T,F,F
jiowifi availability to bagalkot,F,T,F,F,F,F,F,F,F
freecharge mobile recharge ofers,F,T,F,F,F,F,F,F,F
what is current pnr status of farakkha express,F,F,F,F,T,F,F,F,F
wht will be the charge,T,T,T,F,T,F,T,F,F
i wnt to see menu,T,F,F,F,F,F,F,F,F
whts rediscover the epic,F,F,F,F,T,F,F,F,F
hrtc volvo from delhi to nainital,F,F,F,F,T,F,F,F,F
59721 today status,F,F,F,F,T,F,F,F,F
is there any bbq in ranchi?,T,F,F,F,F,F,F,F,F
what is the best price for a room at grand  millenium hotel in dubai t com area{task},F,F,F,F,T,F,F,F,F
can you remind me,F,F,F,T,F,F,F,F,F
i want to book the train tickets dear,F,F,F,F,T,F,F,F,F
cancel task 2,F,F,F,T,F,F,F,F,F
i know cng pump,F,F,F,F,F,T,F,F,F
i need cashless ride only,F,F,F,F,T,F,F,F,F
"		i would like to cancel my medicine reminder for everyday at 02:10 pm { reminder_list: 637855, user_id: 1961865, task_name: medicine, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
nd 8.30 too,F,F,F,T,F,F,F,F,F
yes i would like to from malabar chopsticks,F,F,F,F,F,T,F,F,F
all new movies,F,F,F,F,F,F,T,F,F
near connaught place...,F,F,F,F,T,T,F,F,F
can you change the destination,F,F,F,F,T,F,F,F,F
can you tell me if there is a show at 2:30 in kavali?,F,F,F,F,F,F,T,F,F
i have used fly1000 already once can i use it again,F,F,F,F,T,F,F,F,F
government polytechnic gandhinagar		nearest mall????,F,F,F,F,F,T,F,F,F
need to purchase house,F,F,F,F,F,T,F,F,F
from chennai to pune,F,F,F,F,T,F,F,F,F
how is the movie hebbuli,F,F,F,F,F,F,T,F,F
i will get discount right?,T,T,F,F,T,F,T,F,F
amit kumar,T,T,F,F,T,F,F,F,F
commando movie,F,F,F,F,F,F,T,F,F
i want to see the movies which has released today,F,F,F,F,F,F,T,F,F
ap express,F,F,F,F,T,F,F,F,F
i want to go manali,F,F,F,F,T,F,F,F,F
please show me one way flights from bangalore to new delhi,F,F,F,F,T,F,F,F,F
how many i spent on ride,F,F,F,F,T,F,F,F,F
remind me tomorrow to pay my bill at 12pm,F,F,F,T,F,F,F,F,F
didn't get a call,F,F,F,T,F,F,F,F,F
what is meant by partially cancelled,F,F,F,F,T,F,F,F,F
when the first bus is available from narasapur to eluru,F,F,F,F,T,F,F,F,F
want bed bugs service,F,F,T,F,F,F,F,F,F
any good veg restaurant near by me,T,F,F,F,F,F,F,F,F
i had paid a bill last night,F,T,F,F,F,F,F,F,F
i want to book the flight ticket...banglore to patna,F,F,F,F,T,F,F,F,F
city gold motera,F,F,F,F,F,F,T,F,F
what is the best way to travel to goa?,F,F,F,F,T,F,F,F,F
i want to find the nearest hotel,F,F,F,F,T,F,F,F,F
sorry pls cancel,T,T,T,T,T,F,T,F,F
no. pls reinstate. i don't want to cancel it.,F,F,F,F,T,F,F,F,F
water reminder,F,F,F,T,F,F,F,F,F
the time was between 9 to 10,T,F,T,T,T,F,T,F,F
i m supposed to get a cash back of rs. 100,F,T,F,F,T,F,F,F,F
i am asking about bus,F,F,F,F,T,F,F,F,F
thanks... but don't want to wake up early on a sunday morning.. :-p,F,F,F,T,F,F,F,F,F
no balance my account so i cant recharge,F,T,F,F,F,F,F,F,F
i want cab from vadodara to ahmedabad,F,F,F,F,T,F,F,F,F
by wt time you will do web check,F,F,F,F,T,F,F,F,F
hdfc atm ka location  dijiye,F,F,F,F,F,T,F,F,F
arvind nagar  press center,F,F,F,F,F,T,F,F,F
spa or massage parlor,F,F,T,F,F,T,F,F,F
need to g9 for hospital by  1 pm,F,F,F,T,F,F,F,F,F
"can you help me anyone in bengaluru near bell road, sanjay nagar, or malleswaram ,who services hawkins pressure cookers",F,F,F,F,F,T,F,F,F
can u tell the movie reviews of these movies..kittu unnadu jagratha...gunturodu...dwaraka..,F,F,F,F,F,F,T,F,F
schedule,F,F,F,T,T,F,F,F,F
i m nt looking for train,F,F,F,F,T,F,F,F,F
cabpleasw ola,F,F,F,F,T,F,F,F,F
can u plz  wakup me at 5 o clock,F,F,F,T,F,F,F,F,F
y not refund afflicable,F,T,F,F,T,F,T,F,F
can you order one extravaganza regular veg pizza from dominos for me ?,T,F,F,F,F,F,F,F,F
location of dominoes near about me,F,F,F,F,F,T,F,F,F
cancel tkt,F,F,F,F,T,F,T,F,F
remind my accounts at 6.25 pm today,F,F,F,T,F,F,F,F,F
malaka spice restaurant,T,F,F,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 30 minutes from 10:00 am to 8:00 pm. { reminder_list: 592179, user_id: 1891350, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
delete that alarm,F,F,F,T,F,F,F,F,F
basketball coaching near my location,F,F,F,F,F,T,F,F,F
"		i would like to cancel my wake up call for fri, 03 march at 06:00 am { reminder_list: 683082, user_id: 1977223, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
of the train booked with you,F,F,F,F,T,F,F,F,F
plz ccancel this reminder,F,F,F,T,F,F,F,F,F
can  u find any store named as kahanak located  at road number 1  banjara hills,F,F,F,F,F,T,F,F,F
"i want to know availability and fare in ac chair car (cc) in train number 12011{product_id:12011_ndls_klk,api_name:trains_api}",F,F,F,F,T,F,F,F,F
just remind me 8:50pm today,F,F,F,T,F,F,F,F,F
s3 / 16 means,F,F,F,F,T,F,F,F,F
multi cuisine restaurants in lower parel for businesses meeting,T,F,F,F,F,F,F,F,F
12.00 everyday to study,F,F,F,T,F,F,F,F,F
i need bank of baroda,F,F,F,F,F,T,F,F,F
8 glasses a day,F,F,F,T,F,F,F,F,F
"		i would like to cancel my wake up call for mon, 06 march at 05:56 am { reminder_list: 721656, user_id: 1984839, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
trains list,F,F,F,F,T,F,F,F,F
thanks buddy..can u also send me the railway availability from mumbai to hyd,F,F,F,F,T,F,F,F,F
2 hours interval,F,F,F,T,F,F,F,F,F
"		i would like to cancel my wake up call for everyday at 05:30 am { reminder_list: 670108, user_id: 1971170, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for fri, 03 march at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 693025-693026-693027-693028-693029, user_id: 1979731, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
is there thammbi,T,F,F,F,F,F,F,F,F
can train tickets be booked through wallet balance,F,F,F,F,T,F,F,F,F
how much is the charge for laptop repair,F,F,T,F,F,F,F,F,F
sorry plz change after one hour 30 min upadate it,F,F,F,T,F,F,F,F,F
dahiser to aslfa,F,F,F,F,T,F,F,F,F
i was looking for some desserts,T,F,F,F,F,F,F,F,F
can you help me book cab at 11 pm,F,F,F,F,T,F,F,F,F
find near by hotel,F,F,F,F,T,T,F,F,F
want address of baba food mall,F,F,F,F,F,T,F,F,F
zone fresh 10 mg,F,F,F,T,F,F,F,F,F
"		i would like to cancel my `wish laalasa happy birthday!` reminder for tue, 04 april at 11:00 am { reminder_list: 631623, user_id: 1961281, task_name: birthday, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
show the list of my pending reminders,F,F,F,T,F,F,F,F,F
phone recharge,F,T,F,F,F,F,F,F,F
remind me every 2 hours,F,F,F,T,F,F,F,F,F
specially the electricity bill,F,T,F,F,F,F,F,F,F
can you help me in return ticket,F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 684295, user_id: 1802390, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
looks like the prices have expired. can you please show me cabs again?,F,F,F,F,T,F,F,F,F
show me more,F,F,F,F,T,F,F,F,F
i want any summercamp near magadi road,F,F,F,F,F,T,F,F,F
can you remind me by 10 30,F,F,F,T,F,F,F,F,F
i want to book at rs 999,F,F,F,F,T,F,F,F,F
do u provide cab for outstation too,F,F,F,F,T,F,F,F,F
81568 93105,F,F,F,F,T,F,F,F,F
broadband and phone bill,F,T,F,F,F,F,F,F,F
is there any cash back in train booking,F,F,F,F,T,F,F,F,F
can uh place n order in dominos,T,F,F,F,F,F,F,F,F
"date: march 3, 2017	time: 3 41 pm",F,F,F,T,T,F,T,F,F
thank you for reminding,F,F,F,T,F,F,F,F,F
mode of payment while booking a ride who wil select?,F,F,F,F,T,F,F,F,F
650 i go to dehli,F,F,F,F,T,F,F,F,F
cash deposit machine,F,F,F,F,F,T,F,F,F
can i get any discount today for logan movie for one ticket,F,F,F,F,F,F,T,F,F
hill station near hyderabad,F,F,F,F,T,T,F,F,F
do these atms dispense cash?,F,F,F,F,F,T,F,F,F
idbi bank,F,F,F,F,F,T,F,F,F
today 8:45pm,F,F,F,T,F,F,F,F,F
can tell me the route,F,F,F,F,T,T,F,F,F
plz remove wake up alarm for tomorrow,F,F,F,T,F,F,F,F,F
timings please,F,F,F,F,T,F,T,F,F
can you help me with place to stay near kamathipura mumbai,F,F,F,F,T,F,F,F,F
please show me trains from hwh to dhn for sleeper (sl) on 10-03-2017.,F,F,F,F,T,F,F,F,F
"i would like to cancel my reminder to 'tell apurva to buy macbook for me' for wed, 01 march at 07:00 pm { reminder_list: 668958, user_id: 1143596, task_name: other, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"wake me up at 6 in the morning today,  thanks.",F,F,F,T,F,F,F,F,F
leh,F,F,F,F,T,F,F,F,F
please send me schedule of gsrtc,F,F,F,F,T,F,F,F,F
delhi rohilla railway station,F,F,F,F,T,F,F,F,F
what about 8 am,F,F,F,T,T,F,F,F,F
nearest school,F,F,F,F,F,T,F,F,F
mysore to madhurai,F,F,F,F,T,F,F,F,F
opthalmologist near me?,F,F,F,F,F,T,F,F,F
please show me one way flights from mumbai to kolkata 		onward date - 22 april,F,F,F,F,T,F,F,F,F
wake up call 7am today,F,F,F,T,F,F,F,F,F
bookcab,F,F,F,F,T,F,F,F,F
"i would like to cancel my wake up call for sat, 04 march at 08:27 pm { reminder_list: 711278, user_id: 1983519, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
i had requested for the reminder,F,F,F,T,F,F,F,F,F
show me cheapest flights for 24th apr.{722071},F,F,F,F,T,F,F,F,F
possible for menu,T,F,F,F,F,F,F,F,F
star theater show timings,F,F,F,F,F,F,T,F,F
nope it's a restaurant,F,F,F,F,F,T,F,F,F
"		hi, i want to book uberpool {product_id:ed5e79f0-c124-4377-89eb-511cbdeb5fe2, api_name:uber, product_name:uberpool, seat_count:none}",F,F,F,F,T,F,F,F,F
do u like watching movies,F,F,F,F,F,F,T,F,F
ok ok i want hit movies 2016,F,F,F,F,F,F,T,F,F
this application is not giving me water reminders,F,F,F,T,F,F,F,F,F
which cab,F,F,F,F,T,F,F,F,F
i want out station cabs,F,F,F,F,T,F,F,F,F
any update,F,F,F,F,T,F,F,F,F
i have already used ola. but never booked using haptik.,F,F,F,F,T,F,F,F,F
on 6th march,T,F,T,T,T,F,T,F,F
please help me with udyan express platform number at dadar station,F,F,F,F,T,F,F,F,F
my destination is indrapuram,F,F,F,F,T,F,F,F,F
mulsi agro tourism,F,F,F,F,T,F,F,F,F
need a table for 4,F,T,F,F,F,F,F,F,F
every 2hours from 10 am to 10 pm,F,F,F,T,F,F,F,F,F
any tamil movies released this weekend,F,F,F,F,F,F,T,F,F
switch off my reminders,F,F,F,T,F,F,F,F,F
bokaro steel city to dhanabad,F,F,F,F,T,F,F,F,F
3 bottles,F,F,F,T,F,F,F,F,F
mumbai to goa 	date 15 april	return 31 may	for 1 passenger,F,F,F,F,T,F,F,F,F
"		i would like to cancel my wake up call for sat, 04 march at 05:00 am { reminder_list: 698609, user_id: 972176, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
medium class restaurant in rajajinagar only vegetarian,F,F,F,F,T,F,F,F,F
flight for goa on 14 th march 2017 from delhi,F,F,F,F,T,F,F,F,F
i i'll book the ticket within one hour..want to conform with friends,F,F,F,F,F,F,T,F,F
is there any offer for vodafone postpaid bills,F,T,F,F,F,F,F,F,F
hey i need tatkal ticket for the same,F,F,F,F,T,F,F,F,F
please remind me every thursday morning at 11am over taking medicine vitamin d,F,F,F,T,F,F,F,F,F
call reminder plz,F,F,F,T,F,F,F,F,F
from secunderabad to mumbai,F,F,F,F,T,F,F,F,F
any atm with cash,F,F,F,F,F,T,F,F,F
i want 2 ride going and after some time to come here vadagoan,F,F,F,F,T,F,F,F,F
andhra bank,T,T,T,F,T,F,T,F,F
please remind me to add bank details of movers and packers tomorrow 6pm,F,F,F,T,F,F,F,F,F
and 2 child seates also,F,F,F,F,T,F,T,F,F
