message,food,support,reminders,movies,nearby,travel,recharge,ipl,casual,other
i sad point table,F,F,F,F,F,F,F,T,F,F
no thank you!,F,F,F,F,F,F,F,F,T,F
delete my all reminder please,F,F,F,F,F,F,F,F,F,F
email id please ?,F,F,F,F,F,T,F,F,F,F
i want a reminder  only for tomorrow . but their are some different words to b said,F,F,T,F,F,F,F,F,F,F
can u send me a link or pdf file of the ssc broad exam timetable,F,F,F,F,T,F,F,F,T,F
"i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 672763, user_id: 1958581, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
remind me today at 9.20pm,F,F,T,F,F,F,F,F,F,F
yup,F,F,F,F,F,F,F,F,T,F
call mee,F,F,F,F,F,F,F,F,T,F
i just crossed  surat,F,F,F,F,F,T,F,F,F,F
Cancel this wake up call,F,F,T,F,F,F,F,F,F,F
Could you help me to find all the SBI branch around my location,F,F,F,F,T,F,F,F,F,F
book tickets on 6/3/,F,F,F,T,F,T,F,F,F,F
can you book me a hotel,F,F,F,F,F,T,F,F,F,F
are u a guilder for me in this app,F,F,F,F,F,F,F,F,T,F
I would wan to book for sunday 9:20am show at PVR directors cut...this movie,F,F,F,T,F,F,F,F,F,F
Can u pls suggest data plan for 5 days on this num -8977340332,F,F,F,F,F,F,T,F,F,F
who will win mi,F,F,F,F,F,F,F,T,F,F
live score..?,F,F,F,F,T,F,F,F,F,F
yes plz,F,F,F,F,F,F,F,F,T,F
can you like keep updating me the score,F,F,F,F,F,F,F,T,F,F
i m sorry i will inform later,F,F,F,F,F,F,F,F,T,F
keep me posted with the match scores,F,F,F,F,F,F,F,T,F,F
telugu  movies,F,F,F,T,F,F,F,F,F,F
how many matches r left for them and how many they must win to sucure their place at the play offs,F,F,F,F,F,F,F,T,F,F
want ordered it from swiggy,T,F,F,F,F,F,F,F,F,F
pizza places,F,F,F,F,T,F,F,F,F,F
hero kempni ki mestero eskuti ka foto bhej sekte ho,F,F,F,F,F,F,F,F,F,F
deny,F,F,F,F,F,F,F,F,T,F
need sbi atm???,F,F,F,F,T,F,F,F,F,F
i want to book train from hyderabad to ajmer for 22march,F,F,F,F,F,T,F,F,F,F
flights,F,F,F,F,F,T,F,F,F,F
yes .. this one.. was looking for this address,F,F,F,F,T,F,F,F,F,F
no..dont cancel it,F,F,F,F,F,F,F,F,T,F
"		i would like to cancel my call jolly reminder for sun, 14 may at 11:55 pm { reminder_list: 684117, user_id: 1974469, task_name: call_someone, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
night food junction,T,F,F,F,F,F,F,F,F,F
kxi vs kkr,F,F,F,F,F,F,F,T,F,F
mmm mobile recharge,F,F,F,F,F,F,T,F,F,F
please tell me train status in western local line,F,F,F,F,F,T,F,F,F,F
himalaya mall ahmedabad. system is unable to fetch location. destination is iskon temple  ahmedabad,F,F,F,F,F,T,F,F,F,F
Menu of naushijaan lazzat-E-lucknow,T,F,F,F,F,F,F,F,F,F
no need now,F,F,F,F,F,F,F,F,T,F
i will recharge on postpaid  so what is the promo code on cash back,F,F,F,F,F,F,T,F,F,F
i want only water reminder,F,F,T,F,F,F,F,F,F,F
thank you sayali for update me cricket,F,F,F,F,F,F,F,T,F,F
the one just finished,F,F,F,F,F,F,F,T,F,F
i need one help,F,F,F,F,F,F,F,F,T,F
Train from jayshingpur to Kolhapur for today,F,F,F,F,F,T,F,F,F,F
Book the tickets,F,F,F,T,F,F,F,F,F,F
Flight details from Delhi to goa,F,F,F,F,F,T,F,F,F,F
new delhi to koderma on 10th of march,F,F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 692398, user_id: 1979570, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
after the match,F,F,F,F,F,F,F,T,F,F
14-3-17,T,T,T,T,F,T,F,F,F,F
"Hdfc bank near gaurav tower, malviya nagar , Jaipur",F,F,F,F,T,F,F,F,F,F
i need cashless ride only,F,F,F,F,F,T,F,F,F,F
Hi.. I ve requested many times to delete all wake alarms.. Still I m getting everyday n getting disturbed,F,F,T,F,F,F,F,F,F,F
i want to know where it is,F,F,F,F,T,F,F,F,F,F
check air fare to pune,F,F,F,F,F,T,F,F,F,F
rcb match schedule please,F,F,F,F,F,F,F,T,F,F
Hey.... Can show me some denim jackets,F,F,F,F,F,F,F,F,F,T
whos the batsman,F,F,F,F,F,F,F,T,F,F
is amount will refunded to my haptik account if recharge failed,F,F,F,F,F,F,T,F,F,F
show all my reminders,F,F,T,F,F,F,F,F,F,F
"hey,can u find chemists near by.?",F,F,F,F,T,F,F,F,F,F
i guess dd won soo please send me the latest one,F,F,F,F,F,F,F,T,F,F
i need hotel for two people on siliguri,F,F,F,F,F,T,F,F,F,F
i need recharge,F,F,F,F,F,F,T,F,F,F
Wake me up by 9 30,F,F,T,F,F,F,F,F,F,F
Can you please tell me what is the fare of that ticket.,F,F,F,F,F,T,F,F,F,F
ab koi or jankari leni hogi to bat kar longa abhi to rakhta hun namaz ka time ho gaya hai namaz padni hai allha hafiz,F,F,F,F,F,F,F,F,T,F
whr will i get the tickets,F,F,F,F,F,F,F,T,F,F
Nearby icici bank,F,F,F,F,T,F,F,F,F,F
ya the complete bill i am making,F,F,F,F,F,F,T,F,F,F
Plan bato. Data,F,F,F,F,F,F,T,F,F,F
check the status of jan shatabdi express on 5 evening from birur jn,F,F,F,F,F,T,F,F,F,F
I want to purchase shirt,F,F,F,F,F,F,F,F,F,T
any mall this area,F,F,F,F,T,F,F,F,F,F
pls remind me very hour,F,F,F,F,F,F,T,F,F,F
please show me trains from nlr to anv for sleeper (sl) on 05-03-2017.,F,F,F,F,F,T,F,F,F,F
after match ends,F,F,F,F,F,F,F,T,F,F
lyf service center,F,T,F,F,F,F,F,F,F,F
ravi,F,F,F,F,F,F,F,F,T,F
both of them don't keep cordless phones,F,F,T,F,F,F,F,F,T,F
m sorry,F,F,F,F,F,F,F,F,T,F
do you also offer saloon service?,F,F,F,F,F,F,F,F,F,T
Ok do me another help. Can  just tell me which wd b da cheapest flight from bbsr to mumbai on 27th,F,F,F,F,F,T,F,F,F,F
tomorrow 6,T,F,F,T,F,T,F,F,F,F
kabil movie,F,F,F,T,F,F,F,F,F,F
details are same has above,T,T,F,F,F,T,T,F,F,F
Need a cab to work tomorrow,F,F,F,F,F,T,F,F,F,F
prepaid,F,F,F,F,F,F,T,F,F,F
please say me what is hmm???,F,F,F,F,F,F,F,F,T,F
8156852489,F,F,F,F,F,T,T,F,F,F
hi pankaj. i would like to book thatkal train ticket for tomorrow journey. can you please help me,F,F,F,F,F,T,F,F,F,F
when matchs will over,F,F,F,F,F,F,F,T,F,F
how to port,F,F,F,F,F,F,T,F,F,F
any another option,T,F,F,F,F,F,F,F,F,F
remove this alarm,F,F,T,F,F,F,F,F,F,F
same 1 u,F,F,F,F,F,F,F,F,T,F
any coupon for me,F,F,F,F,F,T,T,F,F,F
sorry i am not satisfied with u,F,F,F,F,F,F,F,F,T,F
Train from Coimbatore to Ottapalam,F,F,F,F,F,T,F,F,F,F
secunderabad railway station hyd,F,F,F,F,F,T,F,F,F,F
in all over ipl,F,F,F,F,F,F,F,T,F,F
I want Coupon codes for movies,F,F,F,T,F,F,F,F,F,F
recharge offers any,F,F,F,F,F,F,T,F,F,F
Hi I need to recharge my Airtel mobile with the Rs 459 3GB pack!,F,F,F,F,F,F,T,F,F,F
u there,F,F,F,F,F,F,F,F,T,F
today 6 am wake me pls,F,F,T,F,F,F,F,F,F,F
indigo is on domestic side,F,F,F,F,F,T,F,F,F,F
"Hi , can you please look for availability on Nagpur CSTM duronto express on 15.09.2016 ac 2 tier",F,F,F,F,F,T,F,F,F,F
can you remind me of drinking water,F,F,T,F,F,F,F,F,F,F
pls remind me to drink water after every hour,F,F,T,F,F,F,F,F,F,F
If u place it today when will I get d shoes ??,F,F,F,F,F,F,F,F,F,T
yes please call and remind,F,F,T,F,F,F,F,F,F,F
"one hour ??,",F,F,T,F,F,F,F,F,F,F
Find me the bus number from my location to vepery,F,F,F,F,T,F,F,F,F,F
in rajkot plz,F,F,F,F,F,T,F,F,F,F
wrong ticket was mailed to me,F,F,F,F,F,T,F,F,F,F
I want to go to shirdi from bina or bhopal by train in sleeper coach on or around 3 nov.,F,F,F,F,F,T,F,F,F,F
no it was showing me the other day match,F,F,F,F,F,F,F,T,F,F
tinsukia to silchar,F,F,F,F,F,T,F,F,F,F
"		i would like to cancel my wake up call for thu, 02 march at 09:00 am { reminder_list: 678489, user_id: 1154684, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
"		i would like to cancel my meet hdfc bank reminder for mon, 06 march at 10:15 am { reminder_list: 689512, user_id: 1978727, task_name: meet_someone, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
Iphone 6s best price,F,F,F,F,F,F,F,F,F,T
I watch a banjo movie,F,F,F,T,F,F,F,F,F,F
Planning to buy note 7,F,F,F,F,F,F,F,F,F,T
i would also like to set another reminder,F,F,T,F,F,F,F,F,F,F
afternoob,F,F,F,F,F,F,F,F,T,F
"thanks gn, please leave uber pool rates to airport pl.",F,F,F,F,F,T,F,F,F,F
call me today at 9:00 am,F,F,T,F,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 727546, user_id: 1873742, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
Hey..I like to buy a dell laptop...in a store..any stores near my location?,F,F,F,F,F,F,F,F,F,T
when is next natch,F,F,F,F,F,F,F,T,F,F
i need you to call on a different number though,F,T,T,F,F,F,F,F,F,F
o god we lost,F,F,F,F,F,F,F,T,F,F
"sorry , i would have liked to book from this app",T,T,F,T,F,T,F,F,F,F
akhilesh akki going to movie,F,F,F,T,F,F,F,F,F,F
currently not there,F,F,F,F,F,F,F,F,T,F
i have asked for jaisalmer,F,F,F,F,F,T,F,F,F,F
10.30 for studt,T,F,F,T,F,T,F,F,F,F
i will miss ipl so much,F,F,F,F,F,F,F,T,F,F
also to switch from silent mode at the same time,F,F,F,F,F,F,F,F,F,T
what will be the fare from mumbai to udaipur?,F,F,F,F,F,T,F,F,F,F
pune to bellary,F,F,F,F,F,T,F,F,F,F
hey can u make a reminder call,F,F,T,F,F,F,F,F,F,F
"mini, micro",F,F,F,F,F,T,F,F,F,F
massage center,F,T,F,F,F,F,F,F,F,F
i wanna set reminder on 2nd april to visit my place @ village,F,F,T,F,F,F,F,F,F,F
"i would be travelling from pune to tatanagar, jamshedpur. but it has to be via. delhi. this would be on the 10th pf november. can you plan out the route.",F,F,F,F,F,T,F,F,F,F
Remind me at 11:30 to get in touch with Meeseva Laxman Anna.,F,F,T,F,F,F,F,F,F,F
yes _numeral_ is less you should have point _numeral_,F,F,F,F,F,F,F,T,F,F
don't send me reminders to drink water,F,F,T,F,F,F,F,F,F,F
please inform me location of 12334 down vibhuti express,F,F,F,F,F,T,F,F,F,F
I want to buy soundproof chemney for kitchen tell any shop in bathinda,F,F,F,F,F,F,F,F,F,T
tell me the cell no of tilt pub,F,F,F,F,T,F,F,F,F,F
who was the highest scorer for mi,F,F,F,F,F,F,F,T,F,F
bhopal,T,F,F,T,T,T,F,F,F,F
Hey I want to know about vaisno Devi package for 2 people,F,F,F,F,F,T,F,F,F,F
best bengali cusine,F,F,F,T,F,F,F,F,F,F
send me the gujarat lions total score board,F,F,F,F,F,F,F,T,F,F
what is the purpose of this app,F,F,F,F,F,F,F,F,T,F
park near my place,F,F,F,F,T,F,F,F,F,F
"		i would like to cancel my wake up call for fri, 03 march at 03:30 pm { reminder_list: 693074, user_id: 1979788, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
how much schore,F,F,F,F,F,F,F,T,F,F
YES tell me price of that watch in jabong only,F,F,F,F,F,F,F,F,F,T
can u confirm,F,F,F,F,F,F,F,F,T,F
give me conteneous upadate of score,F,F,F,F,F,F,F,T,F,F
mast sir g..,F,F,F,F,F,F,F,F,F,F
Whatis the nearest railway station from Shirdi Temple?,F,F,F,F,F,T,F,F,F,F
HSBC atm,F,F,F,F,T,F,F,F,F,F
no of ppl is 25,T,F,F,F,F,F,F,F,F,F
Inkokodu movie show timings,F,F,F,T,F,F,F,F,F,F
can you send the ticket to my mail id,F,F,F,F,F,T,F,F,F,F
kyo,F,F,F,F,F,F,F,F,F,F
pizza from pizza hut,T,F,F,F,F,F,F,F,F,F
assalam alikum,F,F,F,F,F,F,F,F,T,F
1 bhk,F,F,F,F,T,F,F,F,F,F
any coupon code,F,F,F,F,F,T,T,F,F,F
from tommorow... wakeme upp evryday at 8 am...,F,F,T,F,F,F,F,F,F,F
i need bus ticket booking,F,F,F,F,F,T,F,F,F,F
Medical store near me,F,F,F,F,T,F,F,F,F,F
which team will played in bangalore with day,F,F,F,F,F,F,F,T,F,F
it is showing in proccess,F,F,F,F,F,F,T,F,F,F
so it can be solved only from bank side.,F,F,F,F,F,T,T,F,F,F
how to use money??,F,F,F,F,F,T,T,F,F,F
ccu to mumbai on 8march,F,F,F,F,F,T,F,F,F,F
"		i would like to cancel my `wish aai happy birthday!` reminder for sat, 30 september at 09:00 am { reminder_list: 550116, user_id: 1931611, task_name: birthday, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
just give me some time will let us know,F,F,F,F,F,F,F,F,F,T
Resturent,T,F,F,F,F,F,F,F,F,F
any romantic movies ?,F,F,F,T,F,F,F,F,F,F
What is the ticket price?,F,F,F,T,F,F,F,F,F,F
can you book  a ticket for me on tommorws show,F,F,F,T,F,F,F,F,F,F
hi today 916 gold what rate? plz help me,F,F,F,F,F,F,F,F,F,T
"Hi, I want to buy stocks in share market. Can you help me?",F,T,F,F,F,F,F,F,F,F
"		i would like to cancel my wake up call for mon, 06 march at 07:00 am { reminder_list: 725869, user_id: 1858885, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
mseb,F,F,F,F,T,F,F,F,F,F
wat pakistan score,F,F,F,F,F,F,F,T,F,F
what can you do,F,F,F,F,F,F,F,F,T,F
iam travelling from chennai to mumbai on april 28 and returning on 29,F,F,F,F,F,,F,F,F,F
okay... thanks,F,F,F,F,F,F,F,F,T,F
I want late night trains on 3rd,F,F,F,F,F,T,F,F,F,F
one more medicine reminder i want,F,F,T,F,F,F,F,F,F,F
4.45 pm Hyderabad Exp from Chennai. Today,F,F,F,F,F,T,F,F,F,F
i need a reminder to go for dream home opening at 11:00am,F,F,T,F,F,F,F,F,F,F
Can u get me train timings from ekm to Coimbatore?,F,F,F,F,F,T,F,F,F,F
ijk,F,F,F,F,F,F,F,F,F,T
referral money recharge pe milega kya,F,F,F,F,F,F,F,F,F,F
"i mean can you let me know the details of the branches of indian bank in hyderabad and secunderabad, by tonight?",F,F,F,F,T,F,F,F,F,F
which channel will it be telecast in india,F,F,F,F,F,F,F,T,F,F
i want new reminders,F,F,T,F,F,F,F,F,F,F
2moro,F,F,F,T,F,T,F,F,F,F
did mumbai win _date_,F,F,F,F,F,F,F,T,F,F
hey puneet i want to know...by any chance bikes are available on rent in jammu or not,F,F,F,F,T,F,F,F,F,F
send mail,F,F,F,T,F,T,F,F,F,F
"hi, i'm interested in watching the ghazi attack. {movie_name:the ghazi attack}{task}",F,F,F,T,F,F,F,F,F,F
cab facility in hanumangarh,F,F,F,F,F,T,F,F,F,F
can you update me the full score board,F,F,F,F,F,F,F,T,F,F
How to know my number for airtel sim,F,F,F,F,F,F,T,F,F,F
hi what's the possibility of rain at erode today or tomorrow,F,F,F,F,F,F,F,F,F,T
Can you suggest me good mode of travel from Chandigadh to Dharmashala?,F,F,F,F,F,T,F,F,F,F
which cafes are there in adajan?,T,F,F,F,F,F,F,F,F,F
did we lose,F,F,F,F,F,F,F,T,F,F
der?,F,F,F,F,F,F,F,F,T,F
"if any cashback offer than remind me till 9th march, i have to be recharge nd payment of both",F,F,F,F,F,F,T,F,F,F
not now .later i ask you .,F,F,F,F,F,F,F,F,F,F
Gadgets,T,F,F,F,F,F,F,F,F,F
order,T,F,F,F,F,F,F,F,F,F
Size 28 is not my size,F,F,F,F,F,F,F,F,F,T
it s been half an hour sir,F,F,F,F,F,F,F,T,F,F
wat is d scoree,F,F,F,F,F,F,F,T,F,F
11am eat breakfast,F,F,T,F,F,F,F,F,F,F
i do support team mumbai indians,F,F,F,F,F,F,F,T,F,F
yes thanks,F,F,F,F,F,F,F,F,T,F
get cab for me,F,F,F,F,F,T,F,F,F,F
how are you?,F,F,F,F,F,F,F,F,T,F
This link is when I book an Emirates flight.,F,F,F,F,F,T,F,F,F,F
Needing coupons for movie ticket,F,F,F,T,F,F,F,F,F,F
running telugu movies i want to know,F,F,F,T,F,F,F,F,F,F
How download the Kannada films in the mobile,F,F,F,T,F,F,F,F,F,F
quebec migration,F,F,F,F,T,F,F,F,F,F
Remind me a birthday on 22nd November,F,F,T,F,F,F,F,F,F,F
is there burger singh aroung my location,T,F,F,F,F,F,F,F,F,F
ma'am some time this app not working,F,T,F,F,F,F,F,F,F,F
i am at melarmath,F,F,F,F,T,F,F,F,F,F
any offer on food,T,F,F,F,F,F,F,F,F,F
Please tell the running status of train number 22640,F,F,F,F,F,T,F,F,F,F
transport motor bike agents,F,F,F,F,T,F,F,F,F,F
yes it was really helpful nill be grateful if you let me knw more,F,F,F,F,F,F,F,T,F,F
we need together,F,F,F,F,F,F,F,F,T,F
reminders for today,F,F,T,F,F,F,F,F,F,F
Yz Marathi movie,F,F,F,T,F,F,F,F,F,F
i wanna ask 1 more thing,F,F,F,F,F,F,F,F,T,F
stop all my remainders,F,F,T,F,F,F,F,F,F,F
Plz track my koolpals shirts shipment  delivery and provide me in 1 0 clock,F,F,F,F,F,F,F,F,F,T
i just wanted to refund my money to bank,F,F,F,F,F,F,F,F,T,F
after 2pm,F,F,T,T,F,T,F,F,F,F
Burger where can I get good burgers from,T,F,F,F,F,F,F,F,F,F
cash bak,F,F,F,T,F,T,T,F,F,F
gud9t,F,F,F,F,F,F,F,F,T,F
can you tell me the ipl score and detail for _date_,F,F,F,F,F,F,F,T,F,F
waanaa book flight tickets,F,F,F,F,F,T,F,F,F,F
so,F,F,F,F,F,F,F,F,T,F
more near to me,F,F,F,F,T,F,F,F,F,F
thanxs for remainder for me...,F,F,T,F,F,F,F,F,F,F
Train from mum to Bhavnagar,F,F,F,F,F,T,F,F,F,F
medicine,F,F,F,F,T,F,F,F,F,F
I had set a reminder to meet arindam tomorrow,F,F,T,F,F,F,F,F,F,F
kkr vs mi wich team is the best in the ipl this year,F,F,F,F,F,F,F,T,F,F
Promotional code for Amazon,F,F,F,F,F,F,F,F,F,T
hescom not available,F,F,F,F,F,F,T,F,F,F
aur phir mera munh bund kardo apne khoobsurat haathu se,F,F,F,F,F,F,F,F,F,T
rakesh,F,F,F,F,F,F,F,F,T,F
how many runs did raina makes in gl vs rps,F,F,F,F,F,F,F,T,F,F
sorry dimpal jaiswal,F,F,F,F,F,F,F,F,T,F
jo netuwa grameen m hai,F,F,F,F,F,F,F,F,F,F
"at location nathganga, loni, rahata",F,F,F,F,T,F,F,F,F,F
not now but i'll say,F,F,F,F,F,F,F,F,T,F
what is scoreboard,F,F,F,F,F,F,F,T,F,F
no thanc,F,F,F,F,F,F,F,F,T,F
5 @m,F,F,T,F,F,F,F,F,F,F
help me on this..,F,F,F,F,F,F,F,F,T,F
how u could remind me,F,F,T,F,F,F,F,F,F,F
sorry yaar i am very busy . i am sorry for reply . thank u ur awesome,F,F,F,F,F,F,F,F,T,F
gym near me,F,F,F,F,T,F,F,F,F,F
8-03-17 chinku,F,F,T,F,F,F,F,F,F,F
Yes. PoojA.,F,F,F,F,F,T,F,F,F,F
hey please send me score _time_,F,F,F,F,F,F,F,T,F,F
no thanks i booked my self,F,F,F,T,F,T,F,F,F,F
how much rate from here to mgm for ola cab,F,F,F,F,F,T,F,F,F,F
i have not yet booked,F,F,F,F,F,T,F,F,F,F
for,F,F,F,F,F,F,F,F,T,F
So should I check on flipkart,F,F,F,F,F,F,F,F,F,T
do you know speak tamil,F,F,F,F,F,F,F,F,F,T
"i'm asking for suppose only.,.",F,F,F,F,F,F,F,F,T,F
Unlimited 2g,F,F,F,F,F,F,T,F,F,F
Set it,F,F,T,F,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for fri, 03 march at every 30 minutes from 10:00 am to 8:00 pm. { reminder_list: 696353, user_id: 1980483, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
big setup,F,F,F,F,F,F,F,F,T,F
ok.. thanks,F,F,F,F,F,F,F,F,T,F
it's ok but please do attention on your work,F,F,F,F,F,F,F,F,T,F
including lamination,F,F,F,F,T,F,F,F,F,F
want to know any pizza hut in karunagapally,T,F,F,F,F,F,F,F,F,F
Fly fair for Mumbai on Saturday,F,F,F,F,F,T,F,F,F,F
next match ipl,F,F,F,F,F,F,F,T,F,F
no needs now,F,F,F,F,F,F,F,F,T,F
todays match timings,F,F,F,F,F,F,F,T,F,F
no it's to late i have already recharge on pytm,F,F,F,F,F,F,T,F,F,F
but kkr are batting first so can they lose by _numeral_ runs,F,F,F,F,F,F,F,T,F,F
Can u check ticket to Mumbai on 4th sept,F,F,F,F,F,T,F,F,F,F
how are you??,F,F,F,F,F,F,F,F,T,F
thanx shruti,F,F,F,F,F,F,F,F,T,F
Cab from kalka to shimla,F,F,F,F,F,T,F,F,F,F
cheers,F,F,F,F,F,F,F,F,T,F
alright.,F,F,F,F,F,F,F,F,T,F
I want to book train ticket,F,F,F,F,F,T,F,F,F,F
hey. can you please book me a ola auto,F,F,F,F,F,T,F,F,F,F
I want a gift  for my korean friend,F,F,F,F,F,F,F,F,F,T
great great thanks a lot ☺,F,F,F,F,F,F,F,F,T,F
All reminders are for today,F,F,T,F,F,F,F,F,F,F
set reminder for daily,F,F,T,F,F,F,F,F,F,F
once please check the my pnr status 4541237484,F,F,F,F,F,T,F,F,F,F
movie coupons,F,F,F,T,F,F,F,F,F,F
Pnr status of 8150933042,F,F,F,F,F,T,F,F,F,F
can u help me.. towards lodging,F,F,F,F,F,T,F,F,F,F
hi deepak,F,F,F,F,F,F,F,F,T,F
I need adidas sandals,F,F,F,F,F,F,F,F,F,T
Turn reminder off,F,F,T,F,F,F,F,F,F,F
ipl all teams picture,F,F,F,F,F,F,F,T,F,F
Samsang j5 price please send....,F,F,F,F,F,F,F,F,F,T
who team is playing tommie,F,F,F,F,F,F,F,T,F,F
What are d movies now.?,F,F,F,T,F,F,F,F,F,F
Dillhi se ghuhati 15 november 3ac,F,F,F,F,F,T,F,F,F,F
thanks gloria,F,F,F,F,F,F,F,F,T,F
5082,F,F,F,F,F,T,F,F,F,F
yes i know i seen the whole match,F,F,F,F,F,F,F,T,F,F
can you please read what i have typed,F,F,F,F,F,F,F,F,T,F
details of _date_ games,F,F,F,F,F,F,F,T,F,F
12pm and 3.30 pm,F,F,T,T,F,T,F,F,F,F
no yar will pay later thx,T,F,F,F,F,T,T,F,F,F
Cancel all reminders which are activated,F,F,T,F,F,F,F,F,F,F
PG Accommodation in Bangalore,F,F,F,F,F,T,F,F,F,F
web check-in xdy9vw,F,F,F,F,F,T,F,F,F,F
"		i would like to cancel my medicine reminder for everyday at 08:30 pm { reminder_list: 601294, user_id: 1288809, task_name: medicine, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
Bey remove my reminders,F,F,T,F,F,F,F,F,F,F
who is having purple cap,F,F,F,F,F,F,F,T,F,F
no i want you to remind me again,F,F,T,F,F,F,F,F,F,F
i am new to the app.,F,F,F,F,F,F,F,F,T,F
act internet bangalore,F,F,F,F,T,F,F,F,F,F
I wanted jeggings,F,F,F,F,F,F,F,F,F,T
hi	can you help me with full talk time plan for vodafone maharashtra (except mumbai) under 500 rs,F,F,F,F,F,F,T,F,F,F
"i have an air india flight booked for march 5,2017.i want to reschedule that flight to march 4,2017 with same timings.how much extra amount i need to pay for that?",F,F,F,F,F,T,F,F,F,F
hi i want cab now,F,F,F,F,F,T,F,F,F,F
it's expired,T,T,F,T,F,T,T,F,F,F
Party wear tops.,F,F,F,F,F,F,F,F,F,T
Malayalam movies in colaba,F,F,F,T,F,F,F,F,F,F
telugu movies in jayanagar and jp nagar,F,F,F,T,F,F,F,F,F,F
can u arrange for bouquet,F,F,F,F,T,F,F,F,F,F
the girl is not allowed to travel,F,F,F,F,F,T,F,F,F,F
show me baroda train on 4 march,F,F,F,F,F,T,F,F,F,F
Call on Monday at 9 pm to add mom points,F,F,T,F,F,F,F,F,F,F
i'll first see how much the bill amounts to.,T,F,F,F,F,F,T,F,F,F
Can i get someone who can help in cleaning the house.,F,T,F,F,F,F,F,F,F,F
any offer for post paid,F,F,F,F,F,F,T,F,F,F
Remind me to call up Royal Enfield showroom tomorrow at 4pm,F,F,T,F,F,F,F,F,F,F
any restaurant open now ?,T,F,F,F,F,F,F,F,F,F
hey what s the current score,F,F,F,F,F,F,F,T,F,F
late night redtaurant open now in indiranagar apart from five star restaurants,T,F,F,F,F,F,F,F,F,F
hi khushboo can you help me,F,F,F,F,F,F,F,F,T,F
I want an ac bus,F,F,F,F,F,T,F,F,F,F
want to track my order.. give me the track link,F,T,F,F,F,F,F,F,F,F
i need ur help in  search the specialist of cancer,F,F,F,F,T,F,F,F,F,F
which team will win the game,F,F,F,F,F,F,F,T,F,F
ok thnq shruti,F,F,F,F,F,F,F,F,T,F
is this de updated one,F,F,F,F,F,F,F,T,F,F
4people,T,F,F,F,F,T,F,F,F,F
is there any coupon code for bill payments available?,F,F,F,F,F,F,T,F,F,F
Free calls for vodafone,F,F,F,F,F,F,T,F,F,F
656-225-1106,F,F,F,F,F,T,T,F,F,F
is that human replying ??,F,F,F,F,F,F,F,F,T,F
nice name bye the way,F,F,F,F,F,F,F,F,T,F
please stop reminder for 1 week,F,F,T,F,F,F,F,F,F,F
that was typo*,F,F,F,F,F,F,F,F,T,F
nearest courier service,F,F,F,F,T,F,F,F,F,F
muje 9 am ko delhi pochna hey,F,F,F,F,F,F,F,F,F,F
pune to delhi 25th march,F,F,F,F,F,T,F,F,F,F
it should be free i think,F,F,F,F,F,T,F,F,F,F
ummm no,F,F,F,F,F,F,F,F,T,F
can u call me to remind my reminder ?,F,F,T,F,F,F,F,F,F,F
thanks for this information,F,F,F,F,F,F,F,F,T,F
hi which is hindi romantic movie,F,F,F,T,F,F,F,F,F,F
will u marry me,F,F,F,F,F,F,F,F,T,F
passport office,F,F,F,F,T,F,F,F,F,F
Looking for rates of raichak on ganger for two rooms 6th Oct check in and 9th Oct check out,F,F,F,F,F,T,F,F,F,F
r u a chatbot?,F,F,F,F,F,F,F,F,T,F
status today at aligarh junction,F,F,F,F,F,T,F,F,F,F
sorry little bit busy,F,F,F,F,F,F,F,F,T,F
no its note,F,F,F,F,F,F,F,F,T,F
in 3 adults there are two childs,F,F,F,F,F,T,F,F,F,F
is it a new stadium,F,F,F,F,F,F,F,T,F,F
how many kilometers are there from monippally to kottayam?,F,F,F,F,T,F,F,F,F,F
who s on the pitch,F,F,F,F,F,F,F,T,F,F
what are the matches on sunday,F,F,F,F,F,F,F,T,F,F
yeahh..thanks a lot yaar,F,F,F,F,F,F,F,F,T,F
Mac book or hp or dell which one is bttr in range of 5000p,F,F,F,F,F,F,F,F,F,T
"		i would like to view more reminders. { user_id: 1903983, offset: 5, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
actually i m searching for gravity brand service center,F,F,F,F,T,F,F,F,F,F
